ChosenEmployeeId2.2.2,ChosenEmployerId2.2.2,ChosenEmployerPaygroupId2.2.2,ChosenEmployerPayrollNumber2.2.2
31675,2484,2077,1945
31676,2484,2077,1069
31677,2484,2077,3519
31678,2484,2077,2630
31679,2484,2077,1569
31680,2484,2077,1293
31681,2484,2077,1593
31682,2484,2076,203326
31683,2484,2077,1690
31684,2484,2076,6112427
31685,2484,2077,2958
31686,2484,2077,1770
31687,2484,2077,1453
31688,2484,2077,1614
31689,2484,2077,2082
31690,2484,2077,2525
31691,2484,2077,2642
31692,2484,2076,202930
31693,2484,2076,203566
31694,2484,2077,2623
31695,2484,2077,2990
31696,2484,2077,1643
31697,2484,2077,1638
31698,2484,2077,3246
31699,2484,2077,2813
31700,2484,2077,1363
31701,2484,2076,202967
31702,2484,2077,1693
31703,2484,2077,2998
31704,2484,2077,2938
31705,2484,2077,2943
31706,2484,2077,2690
31707,2484,2077,2937
31708,2484,2076,203043